axis,expr,outer,inner,point,real,imag,unit,coord_0,coord_1,coord_2
values,T,2,3,1,10.0,1.5,K,0.0,0.0,0.0
values,T,2,3,2,11.0,2.5,K,0.01,0.02,0.03
values,T,2,7,1,12.0,3.5,K,0.0,0.0,0.0
values,T,2,7,2,13.0,4.5,K,0.01,0.02,0.03
values,T,5,3,1,20.0,5.5,K,0.0,0.0,0.0
values,T,5,3,2,21.0,6.5,K,0.01,0.02,0.03
values,T,5,7,1,22.0,7.5,K,0.0,0.0,0.0
values,T,5,7,2,23.0,8.5,K,0.01,0.02,0.03
values,p,2,3,1,100.0,0.1,Pa,0.0,0.0,0.0
values,p,2,3,2,101.0,0.2,Pa,0.01,0.02,0.03
values,p,2,7,1,102.0,0.3,Pa,0.0,0.0,0.0
values,p,2,7,2,103.0,0.4,Pa,0.01,0.02,0.03
values,p,5,3,1,200.0,0.5,Pa,0.0,0.0,0.0
values,p,5,3,2,201.0,0.6,Pa,0.01,0.02,0.03
values,p,5,7,1,202.0,0.7,Pa,0.0,0.0,0.0
values,p,5,7,2,203.0,0.8,Pa,0.01,0.02,0.03
