case,producer,L_m,p_center_W_each,p_ring1_W_each,p_ring2_W_each,emitted_W,incident_W,absorbed_W,ROI_absorbed_W,optical_not_intercepted_W,unabsorbed_incident_W,bottom_heat_out_W,storage_rate_W,balance_residual_W,ROI_mean_T_K,ROI_mean_rise_K,ROI_std_K,ROI_min_rise_K,ROI_max_rise_K,ROI_CV,ROI_CV_status,ROI_area_m2,dataset,solution,time_s,native_version,physical_validation
1,53bc2582-b53c-472b-9450-035b89665735,0.01,0.6,0.65,0.7227272727272727,12.45,12.448114094411084,7.468868456646649,6.824528623374729,0.0018859055889155485,4.979245637764435,7.4688706383482355,-1.2767616179707938e-06,-9.04939968530312e-07,313.93651225225943,13.936512252259407,2.700641011877119,6.972385915401219,18.401579511086254,0.19378169824658154,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
2,ccd68ad7-16ea-46ec-aa6b-ffdb93141dca,0.01,0.6,0.75,0.6681818181818181,12.45,12.448261554491927,7.468956932695157,6.87310110238835,0.0017384455080726724,4.97930462179677,7.468958898514987,-1.1593384214652447e-06,-8.06481408120524e-07,314.11751572667424,14.117515726674215,3.051062944562791,6.971293906544474,19.387287971045453,0.21611896906181496,DEFINED,0.0007068583385082237,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
3,79ad0c8f-3036-49d9-8cc8-c3ba62536eff,0.01,0.6,0.85,0.6136363636363636,12.45,12.44840901457281,7.469045408743698,6.921673581402004,0.00159098542718894,4.979363605829112,7.469049853907547,-2.399411532159774e-06,-2.045752317293819e-06,314.29852261225676,14.298522612256777,3.4174792681953736,6.970205305764466,20.37348571000888,0.23900925717079963,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
4,7ad77f18-e856-43ba-85c6-774072800b66,0.01,0.8,0.65,0.7045454545454544,12.45,12.448162292239202,7.468897375343531,6.840751393963359,0.0018377077607976133,4.979264916895671,7.468899406335316,-1.187033243584896e-06,-8.439585418328724e-07,314.0133384414686,14.013338441468582,2.885870881423316,6.950019248005447,19.357695604952028,0.2059374283634928,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
5,ecf0277b-f873-45d9-808b-ccddcf0ac016,0.01,0.8,0.75,0.6499999999999999,12.45,12.448309752320071,7.4689858513920475,6.88932387297699,0.0016902476799280919,4.979323900928024,7.468990374070456,-2.337249787856395e-06,-2.1854286208129834e-06,314.19434534267816,14.194345342678176,3.245771003994301,6.948930663730039,20.34601442951822,0.22866648130895,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
6,dd68dfe7-e8ba-41e0-a90f-ac018e4cf140,0.01,0.8,0.85,0.5954545454545453,12.45,12.448457212400955,7.4690743274405635,6.937896351990619,0.0015427875990443596,4.979382884960391,7.469078736259532,-2.9784640382383175e-06,-1.4303549303326092e-06,314.3753489463122,14.375348946312233,3.618903745876634,6.9478387716856105,21.334329957146338,0.25174371484074526,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
7,2f2cfbc8-553f-4271-a1c0-87d8e079f0f1,0.01,1.0,0.65,0.6863636363636363,12.45,12.448210490067352,7.468926294040406,6.8569741645519855,0.0017895099326477037,4.979284196026946,7.468928114020219,-1.0435681216284522e-06,-7.764116914495687e-07,314.0901645543573,14.090164554357273,3.079406469950115,6.927652504586206,20.322636281722737,0.21855007143957256,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
8,4acbc09a-a592-47ba-96c6-0ba688ec46f0,0.01,1.0,0.75,0.6318181818181817,12.45,12.448357950148209,7.469014770088928,6.90554664356562,0.0016420498517906168,4.9793431800592804,7.469019350365827,-2.966180016017388e-06,-1.6140968830736302e-06,314.27117179562083,14.27117179562085,3.446850494500132,6.926564246610951,21.312255183024604,0.24152540126787683,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
9,1e94cf42-84c9-4466-bd91-eb429c719689,0.01,1.0,0.85,0.5772727272727273,12.45,12.448505410229092,7.469103246137437,6.954119122579243,0.0014945897709068845,4.979402164091655,7.469107307144904,-3.0008861066220565e-06,-1.060121360571122e-06,314.452174886063,14.452174886062986,3.825371704863117,6.925471855621652,22.301980793716268,0.2646917668116603,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
10,68858e83-10cf-471e-96cc-4a325c4ffcde,0.02,0.6,0.65,0.7227272727272727,12.45,12.437499349950503,7.462499609970306,6.567463419910438,0.012500650049496187,4.9749997399801975,7.462503040662455,-1.7172444617186707e-06,-1.713447687312574e-06,313.735364171901,13.735364171900983,2.650239207792352,7.184428002685081,18.173335933624003,0.1929500502952851,DEFINED,0.0007068583385082236,dset1,sol1,60,COMSOL Multiphysics 6.3 (开发版本: 290),UNVERIFIED
